---------참조 스트링---------
 14 17 28 26 24 26 17 13 10  2  3  8 21 20 24 17  1  7 23 17 12  9 28 10  3 21  3 14  8 26 30 13 13 19 30 28 14 17  2 23 10  4 22 30 15  8  9 15  6  1 24 17  2 21 27  4  3 21 17  2 16 16 15 28 27  6 17 10 14 18 25 16 13 16 15 28 15 15  4 21  8 19  7  9  9 25  4 12 15 20 13  1 27 19 20 23 17  7 25 30 16 11 15 29 18 22 18  3 28 13 23 27  2 21 27  2 16 30  5 30 11 10 22  8 28 12 22  6 10  8 28 17 18  4  7  6 17 24 30 15 29 22  3 30  4 30  1 19 29  6 11 10  7 24  9 26 27 22  2  6 30 29 15  9  2 21 14 11 15  5 25  5 18 27  4 22 18 26 10 17 23 12 18 29  6 18 25  2  9 26 30  8 16 14  9  9  4 22 19 10 27  5 14 14 24  9 27 11  5 29 19 19 10 28 18  7 15  4  1 24 21 30 23  6  5  1  6 30 15 17 10  3 13 15  8 28 16  5  9 12  3 19 30  4 17  9 11 23 12 11 16  2  2  1 29  6  1 27  5  7 13  6  9 17 13  9 15 28 13 15  1  7  3 30 10 11  9 12  4 12 22 11 14 15 11  4 20 12 30 17 10  4 14 19 21 26 27 27 15  1 11 15  7 13  7  8 16  7 20 19 18  3 29 23 10 10 27 21 13 18  7 22 14 13  2 26 30 20 22 15 20  2 21 18  6 19 18 21 25 29  1  5 23 30 27  2  1 15 23 13  3 21 26 16  3 20 11  3  9 24  9 21 25 21 30 22 10 17 13 26 15  5 30 30  4 27  1 26 11 23 30  5 14 26 12  8 15 14  2 15  7 10  5 23 23 27 15  2 13 19 19 20 23 19 19 19  7 19 14  9  4 14 14  9  1 25  8  7  9 10 21  7 19 18 30 11 14 14  4 18 24 23  7 16  3 17 26  9 28 10 17  1 15 22  1 15  9  8 21  9 17  3 15 28 20 14 30  3 19  4 21 12 18 19 20 12  6 15 20  3 16 28 25 30 20 25  6 20 24 26 28 11 29 12 30 10 18 29 13  6 24 25 10 11 13 21 22 10 27  3

선택하신 메뉴는  7번입니다!!
-----------------------------------------
 (7). ESC 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
  14(W)	       14(1,1)	       -1(0,0)	       -1(0,0)		PAGE FAULT
    30	         30	         15	          1		PAGE FAULT
    10	         30	         15	         10		PAGE FAULT
    11	         30	         15	         11		PAGE FAULT
    9	          9	         15	         11		PAGE FAULT
    12	         12	         15	         11		PAGE FAULT
    4	         12	          4	         11		PAGE FAULT
    12	         12	          4	         11		          
    22	         22	          4	         11		PAGE FAULT
    11	         22	          4	         11		          
    14	         14	          4	         11		PAGE FAULT
    15	         15	          4	         11		PAGE FAULT
    11	         15	          4	         11		          
    4	         15	          4	         11		          
    20	         15	          4	         20		PAGE FAULT
    12	         15	          4	         12		PAGE FAULT
    30	         15	          4	         30		PAGE FAULT
    17	         15	          4	         17		PAGE FAULT
    10	         15	          4	         10		PAGE FAULT
    4	         15	          4	         10		          
    14	         15	         14	         10		PAGE FAULT
    19	         15	         19	         10		PAGE FAULT
    21	         15	         19	         21		PAGE FAULT
    26	         15	         19	         26		PAGE FAULT
    27	         15	         19	         27		PAGE FAULT
    27	         15	         19	         27		          
    15	         15	         19	         27		          
    1	         15	         19	          1		PAGE FAULT
    11	         15	         19	         11		PAGE FAULT
    15	         15	         19	         11		          
    7	         15	         19	          7		PAGE FAULT
    13	         13	         19	          7		PAGE FAULT
    7	         13	         19	          7		          
    8	          8	         19	          7		PAGE FAULT
    16	         16	         19	          7		PAGE FAULT
    7	         16	         19	          7		          
    20	         20	         19	          7		PAGE FAULT
    19	         20	         19	          7		          
    18	         20	         18	          7		PAGE FAULT
    3	          3	         18	          7		PAGE FAULT
    29	         29	         18	          7		PAGE FAULT
    23	         23	         18	          7		PAGE FAULT
    10	         10	         18	          7		PAGE FAULT
    10	         10	         18	          7		          
    27	         27	         18	          7		PAGE FAULT
    21	         21	         18	          7		PAGE FAULT
    13	         13	         18	          7		PAGE FAULT
    18	         13	         18	          7		          
    7	         13	         18	          7		          
    22	         13	         18	         22		PAGE FAULT
    14	         13	         14	         22		PAGE FAULT
    13	         13	         14	         22		          
    2	         13	          2	         22		PAGE FAULT
    26	         26	          2	         22		PAGE FAULT
    30	         30	          2	         22		PAGE FAULT
    20	         20	          2	         22		PAGE FAULT
    22	         20	          2	         22		          
    15	         20	          2	         15		PAGE FAULT
    20	         20	          2	         15		          
    2	         20	          2	         15		          
    21	         21	          2	         15		PAGE FAULT
    18	         21	          2	         18		PAGE FAULT
    6	         21	          6	         18		PAGE FAULT
    19	         21	         19	         18		PAGE FAULT
    18	         21	         19	         18		          
    21	         21	         19	         18		          
    25	         21	         19	         25		PAGE FAULT
    29	         21	         29	         25		PAGE FAULT
    1	         21	          1	         25		PAGE FAULT
    5	         21	          1	          5		PAGE FAULT
    23	         21	          1	         23		PAGE FAULT
    30	         30	          1	         23		PAGE FAULT
    27	         27	          1	         23		PAGE FAULT
    2	          2	          1	         23		PAGE FAULT
    1	          2	          1	         23		          
    15	         15	          1	         23		PAGE FAULT
    23	         15	          1	         23		          
    13	         15	          1	         13		PAGE FAULT
    3	         15	          3	         13		PAGE FAULT
    21	         21	          3	         13		PAGE FAULT
    26	         21	          3	         26		PAGE FAULT
    16	         21	          3	         16		PAGE FAULT
    3	         21	          3	         16		          
    20	         21	          3	         20		PAGE FAULT
    11	         21	          3	         11		PAGE FAULT
    3	         21	          3	         11		          
    9	         21	          9	         11		PAGE FAULT
    24	         21	          9	         24		PAGE FAULT
    9	         21	          9	         24		          
    21	         21	          9	         24		          
    25	         21	          9	         25		PAGE FAULT
    21	         21	          9	         25		          
    30	         30	          9	         25		PAGE FAULT
    22	         30	          9	         22		PAGE FAULT
    10	         30	          9	         10		PAGE FAULT
    17	         30	         17	         10		PAGE FAULT
    13	         30	         13	         10		PAGE FAULT
    26	         30	         26	         10		PAGE FAULT
    15	         30	         26	         15		PAGE FAULT
    5	         30	         26	          5		PAGE FAULT
    30	         30	         26	          5		          
    30	         30	         26	          5		          
    4	         30	         26	          4		PAGE FAULT
    27	         30	         26	         27		PAGE FAULT
    1	         30	         26	          1		PAGE FAULT
    26	         30	         26	          1		          
    11	         30	         26	         11		PAGE FAULT
    23	         30	         26	         23		PAGE FAULT
    30	         30	         26	         23		          
    5	          5	         26	         23		PAGE FAULT
    14	          5	         26	         14		PAGE FAULT
    26	          5	         26	         14		          
    12	          5	         12	         14		PAGE FAULT
    8	          5	          8	         14		PAGE FAULT
    15	          5	         15	         14		PAGE FAULT
    14	          5	         15	         14		          
    2	          5	         15	          2		PAGE FAULT
    15	          5	         15	          2		          
    7	          5	         15	          7		PAGE FAULT
    10	          5	         15	         10		PAGE FAULT
    5	          5	         15	         10		          
    23	         23	         15	         10		PAGE FAULT
    23	         23	         15	         10		          
    27	         23	         15	         27		PAGE FAULT
    15	         23	         15	         27		          
    2	         23	         15	          2		PAGE FAULT
    13	         23	         15	         13		PAGE FAULT
    19	         23	         15	         19		PAGE FAULT
    19	         23	         15	         19		          
    20	         23	         20	         19		PAGE FAULT
    23	         23	         20	         19		          
    19	         23	         20	         19		          
    19	         23	         20	         19		          
    19	         23	         20	         19		          
    7	         23	          7	         19		PAGE FAULT
    19	         23	          7	         19		          
    14	         14	          7	         19		PAGE FAULT
    9	         14	          7	          9		PAGE FAULT
    4	         14	          4	          9		PAGE FAULT
    14	         14	          4	          9		          
    14	         14	          4	          9		          
    9	         14	          4	          9		          
    1	         14	          1	          9		PAGE FAULT
    25	         14	         25	          9		PAGE FAULT
    8	         14	          8	          9		PAGE FAULT
    7	         14	          7	          9		PAGE FAULT
    9	         14	          7	          9		          
    10	         14	          7	         10		PAGE FAULT
    21	         14	          7	         21		PAGE FAULT
    7	         14	          7	         21		          
    19	         14	          7	         19		PAGE FAULT
    18	         14	          7	         18		PAGE FAULT
    30	         14	         30	         18		PAGE FAULT
    11	         14	         11	         18		PAGE FAULT
    14	         14	         11	         18		          
    14	         14	         11	         18		          
    4	         14	          4	         18		PAGE FAULT
    18	         14	          4	         18		          
    24	         14	          4	         24		PAGE FAULT
    23	         14	          4	         23		PAGE FAULT
    7	         14	          4	          7		PAGE FAULT
    16	         14	          4	         16		PAGE FAULT
    3	         14	          4	          3		PAGE FAULT
    17	         14	         17	          3		PAGE FAULT
    26	         26	         17	          3		PAGE FAULT
    9	          9	         17	          3		PAGE FAULT
    28	          9	         17	         28		PAGE FAULT
    10	          9	         17	         10		PAGE FAULT
    17	          9	         17	         10		          
    1	          9	         17	          1		PAGE FAULT
    15	          9	         15	          1		PAGE FAULT
    22	         22	         15	          1		PAGE FAULT
    1	         22	         15	          1		          
    15	         22	         15	          1		          
    9	         22	         15	          9		PAGE FAULT
    8	          8	         15	          9		PAGE FAULT
    21	         21	         15	          9		PAGE FAULT
    9	         21	         15	          9		          
    17	         21	         15	         17		PAGE FAULT
    3	         21	         15	          3		PAGE FAULT
    15	         21	         15	          3		          
    28	         21	         28	          3		PAGE FAULT
    20	         21	         20	          3		PAGE FAULT
    14	         21	         14	          3		PAGE FAULT
    30	         21	         30	          3		PAGE FAULT
    3	         21	         30	          3		          
    19	         21	         19	          3		PAGE FAULT
    4	         21	         19	          4		PAGE FAULT
    21	         21	         19	          4		          
    12	         21	         19	         12		PAGE FAULT
    18	         18	         19	         12		PAGE FAULT
    19	         18	         19	         12		          
    20	         18	         20	         12		PAGE FAULT
    12	         18	         20	         12		          
    6	          6	         20	         12		PAGE FAULT
    15	          6	         20	         15		PAGE FAULT
    20	          6	         20	         15		          
    3	          6	         20	          3		PAGE FAULT
    16	          6	         20	         16		PAGE FAULT
    28	          6	         20	         28		PAGE FAULT
    25	          6	         20	         25		PAGE FAULT
    30	         30	         20	         25		PAGE FAULT
    20	         30	         20	         25		          
    25	         30	         20	         25		          
    6	         30	         20	          6		PAGE FAULT
    20	         30	         20	          6		          
    24	         30	         24	          6		PAGE FAULT
    26	         30	         26	          6		PAGE FAULT
    28	         30	         28	          6		PAGE FAULT
    11	         30	         11	          6		PAGE FAULT
    29	         30	         29	          6		PAGE FAULT
    12	         30	         29	         12		PAGE FAULT
    30	         30	         29	         12		          
    10	         10	         29	         12		PAGE FAULT
    18	         10	         29	         18		PAGE FAULT
    29	         10	         29	         18		          
    13	         10	         13	         18		PAGE FAULT
    6	         10	         13	          6		PAGE FAULT
    24	         10	         13	         24		PAGE FAULT
    25	         10	         13	         25		PAGE FAULT
    10	         10	         13	         25		          
    11	         10	         13	         11		PAGE FAULT
    13	         10	         13	         11		          
    21	         10	         21	         11		PAGE FAULT
    22	         10	         22	         11		PAGE FAULT
    10	         10	         22	         11		          
    27	         27	         22	         11		PAGE FAULT
    3	          3	         22	         11		PAGE FAULT

Optimal: 
	Page faults : 362
	       Hits : 138
	  Hit Ratio : 27.60%
-----------------------------------------

